city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Ribeira Grande,38.5167,-28.7,18.0,94,75,9.77,PT,1619037916
Whitianga,-36.8333,175.7,16.11,97,98,2.81,NZ,1619037916
Goderich,43.7501,-81.7165,0.0,74,42,6.17,CA,1619037916
Linxi,39.7,118.4333,11.99,50,100,2.57,CN,1619037860
Ürümqi,43.801,87.6005,1.0,93,90,3.0,CN,1619037917
Salalah,17.0151,54.0924,28.0,74,0,0.51,OM,1619037917
Ambulu,-8.345,113.6058,22.09,85,68,1.57,ID,1619037917
Lüderitz,-26.6481,15.1594,19.57,68,100,3.79,NA,1619037917
Mayor Pablo Lagerenza,-19.9309,-60.7718,30.1,46,100,2.7,PY,1619037918
Husavik,66.0449,-17.3389,7.0,57,20,5.66,IS,1619037919
Hirara,24.8,125.2833,23.01,89,100,11.15,JP,1619037919
Avarua,-21.2078,-159.775,27.0,69,40,6.17,CK,1619037919
Bengkulu,-3.8004,102.2655,24.06,90,66,1.53,ID,1619037920
Vylkove,45.4021,29.586,9.85,81,21,2.63,UA,1619037920
Zhangye,38.9342,100.4517,15.63,22,100,2.13,CN,1619037920
George Town,5.4112,100.3354,27.0,89,20,1.54,MY,1619037920
Freetown,8.484,-13.2299,26.89,82,98,3.76,SL,1619037921
Norman Wells,65.282,-126.8329,-3.0,68,75,7.2,CA,1619037737
Hofn,64.2539,-15.2082,5.82,63,100,1.24,IS,1619037921
Meadow Lake,34.8014,-106.5436,21.11,21,75,3.09,US,1619037905
Riverton,40.5219,-111.9391,12.78,50,1,6.69,US,1619037921
Honiara,-9.4333,159.95,27.09,81,49,1.21,SB,1619037922
Samborondón,-1.95,-79.7333,32.0,51,40,3.6,EC,1619037922
Sitka,57.0531,-135.33,9.0,66,20,2.57,US,1619037922
Caraquet,47.7941,-64.9386,3.0,93,100,0.51,CA,1619037922
Alcúdia,39.8532,3.1214,15.0,83,100,0.89,ES,1619037923
Puro,12.4841,123.3827,26.97,81,100,6.19,PH,1619037923
Iskateley,67.6803,53.1512,2.21,87,98,5.12,RU,1619037923
Chui,-33.6971,-53.4616,19.6,72,2,6.76,UY,1619037923
Kumluca,36.3703,30.2869,16.95,58,0,1.09,TR,1619037924
Kaitangata,-46.2817,169.8464,13.33,88,86,0.89,NZ,1619037924
Takoradze,4.8845,-1.7554,27.85,81,17,4.83,GH,1619037924
Concepción de la Vega,19.2221,-70.5296,33.0,40,20,6.69,DO,1619037924
Margate,51.3813,1.3862,6.67,70,19,1.79,GB,1619037925
Ahipara,-35.1667,173.1667,17.44,71,100,0.87,NZ,1619037668
